id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,golongan_darah,jenis_kelamin,jumlah_pendonor_darah,satuan,tahun
1,32,JAWA BARAT,3278,KOTA TASIKMALAYA,A,LAKI-LAKI,1394,ORANG,2022
2,32,JAWA BARAT,3278,KOTA TASIKMALAYA,A,PEREMPUAN,627,ORANG,2022
3,32,JAWA BARAT,3278,KOTA TASIKMALAYA,B,LAKI-LAKI,1175,ORANG,2022
4,32,JAWA BARAT,3278,KOTA TASIKMALAYA,B,PEREMPUAN,611,ORANG,2022
5,32,JAWA BARAT,3278,KOTA TASIKMALAYA,AB,LAKI-LAKI,361,ORANG,2022
6,32,JAWA BARAT,3278,KOTA TASIKMALAYA,AB,PEREMPUAN,161,ORANG,2022
7,32,JAWA BARAT,3278,KOTA TASIKMALAYA,O,LAKI-LAKI,1678,ORANG,2022
8,32,JAWA BARAT,3278,KOTA TASIKMALAYA,O,PEREMPUAN,683,ORANG,2022
9,32,JAWA BARAT,3278,KOTA TASIKMALAYA,A,LAKI-LAKI,1843,ORANG,2023
10,32,JAWA BARAT,3278,KOTA TASIKMALAYA,A,PEREMPUAN,922,ORANG,2023
11,32,JAWA BARAT,3278,KOTA TASIKMALAYA,B,LAKI-LAKI,1659,ORANG,2023
12,32,JAWA BARAT,3278,KOTA TASIKMALAYA,B,PEREMPUAN,881,ORANG,2023
13,32,JAWA BARAT,3278,KOTA TASIKMALAYA,AB,LAKI-LAKI,468,ORANG,2023
14,32,JAWA BARAT,3278,KOTA TASIKMALAYA,AB,PEREMPUAN,258,ORANG,2023
15,32,JAWA BARAT,3278,KOTA TASIKMALAYA,O,LAKI-LAKI,2367,ORANG,2023
16,32,JAWA BARAT,3278,KOTA TASIKMALAYA,O,PEREMPUAN,1200,ORANG,2023
