id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_penduduk,satuan,tahun
1,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,348402,JIWA,2015
2,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,336417,JIWA,2015
3,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,351960,JIWA,2016
4,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,338535,JIWA,2016
5,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,354084,JIWA,2017
6,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,340526,JIWA,2017
7,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,362383,JIWA,2018
8,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,351154,JIWA,2018
9,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,365766,JIWA,2019
10,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,354116,JIWA,2019
11,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,368850,JIWA,2020
12,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,356711,JIWA,2020
13,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,371511,JIWA,2021
14,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,360095,JIWA,2021
15,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,379050,JIWA,2022
16,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,367660,JIWA,2022
17,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,384805,JIWA,2023
18,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,373010,JIWA,2023
